arranjo,estado,cidade,codigo_ibge
Adamantina - Lucélia/SP,SP,Adamantina,3500105
Adamantina - Lucélia/SP,SP,Inúbia Paulista,3520806
Adamantina - Lucélia/SP,SP,Lucélia,3527405
Adamantina - Lucélia/SP,SP,Mariápolis,3528908
Adamantina - Lucélia/SP,SP,Pracinha,3540853
Adrianópolis/PR - Ribeira/SP,PR,Adrianópolis,4100202
Adrianópolis/PR - Ribeira/SP,SP,Ribeira,3542800
Águas de Lindóia/SP,SP,Águas de Lindóia,3500501
Águas de Lindóia/SP,SP,Lindóia,3527009
Além Paraíba/MG - Sapucaia/RJ,MG,Além Paraíba,3101508
Além Paraíba/MG - Sapucaia/RJ,RJ,Sapucaia,3305406
Alto Araguaia/MT,MT,Alto Araguaia,5100300
Alto Araguaia/MT,GO,Santa Rita do Araguaia,5219407
Alto Parnaíba/MA - Santa Filomena/PI,MA,Alto Parnaíba,2100501
Alto Parnaíba/MA - Santa Filomena/PI,PI,Santa Filomena,2209203
Alvorada do Norte - Simolândia/GO,GO,Alvorada do Norte,5200803
Alvorada do Norte - Simolândia/GO,GO,Simolândia,5220686
Amarante/PI - São Francisco do Maranhão/MA,PI,Amarante,2200509
Amarante/PI - São Francisco do Maranhão/MA,MA,São Francisco do Maranhão,2110906
Americana - Santa Bárbara d ́Oeste/SP,SP,Americana,3501608
Americana - Santa Bárbara d ́Oeste/SP,SP,Nova Odessa,3533403
Americana - Santa Bárbara d ́Oeste/SP,SP,Santa Bárbara d ́Oeste,3545803
Amparo/SP,SP,Amparo,3501905
Amparo/SP,SP,Monte Alegre do Sul,3531209
Angical do Piauí/PI,PI,Angical do Piauí,2200608
Angical do Piauí/PI,PI,Santo Antônio dos Milagres,2209450
Antônio Prado/RS,RS,Antônio Prado,4300802
Antônio Prado/RS,RS,Ipê,4310439
Aquidauana - Anastácio/MS,MS,Anastácio,5000708
Aquidauana - Anastácio/MS,MS,Aquidauana,5001102
Aracaju/SE,SE,Aracaju,2800308
